Date,open,high,low,close,volume
29-10-2022,3.021,3.171,3.02,3.087,602801.302
30-10-2022,3.089,3.237,3.055,3.102,511631.722
31-10-2022,3.102,3.19,3.041,3.108,457643.717
01-11-2022,3.105,3.168,3.003,3.012,607302.021
02-11-2022,3.013,3.033,2.826,2.903,508221.436
03-11-2022,2.9,3.125,2.88,3.027,588014.856
04-11-2022,3.031,3.311,3.009,3.306,783980.94
05-11-2022,3.308,3.443,3.263,3.333,654183.489
06-11-2022,3.331,3.362,3.081,3.098,470480.529
07-11-2022,3.094,3.153,2.971,3.051,513234.743
08-11-2022,3.05,3.074,2.399,2.633,876329.839
09-11-2022,2.634,2.66,1.978,2.027,1118237.248
10-11-2022,2.031,2.381,1.992,2.314,1091341.124
11-11-2022,2.315,2.321,2.037,2.13,826013.129
12-11-2022,2.133,2.138,1.952,1.999,1032692.749
13-11-2022,2,2.083,1.888,1.954,805148.816
14-11-2022,1.954,2.024,1.8,1.971,870750.598
15-11-2022,1.97,2.049,1.933,1.981,631835.183
16-11-2022,1.98,2.018,1.889,1.922,474375.422
17-11-2022,1.922,1.943,1.816,1.829,725167.234
18-11-2022,1.833,1.877,1.746,1.78,749379.553
19-11-2022,1.778,1.793,1.701,1.749,760629.74
20-11-2022,1.747,1.773,1.552,1.569,775638.169
21-11-2022,1.571,1.582,1.433,1.564,1098386.934
22-11-2022,1.565,1.646,1.492,1.628,879657.617
23-11-2022,1.621,1.7,1.584,1.684,741358.974
24-11-2022,1.691,1.733,1.621,1.643,654480.718
25-11-2022,1.643,1.658,1.591,1.647,416760.311
26-11-2022,1.648,1.704,1.578,1.61,442358.573
27-11-2022,1.612,1.683,1.589,1.615,471769.366
28-11-2022,1.616,1.631,1.484,1.591,631968.034
29-11-2022,1.593,1.638,1.554,1.608,528822.547
30-11-2022,1.608,1.748,1.604,1.722,742676.006
01-12-2022,1.724,1.77,1.685,1.741,649410.888
02-12-2022,1.74,1.882,1.713,1.756,655720.901
03-12-2022,1.757,1.757,1.661,1.671,377015.541
04-12-2022,1.667,1.74,1.662,1.72,399579.89
05-12-2022,1.719,1.783,1.677,1.715,720769.822
06-12-2022,1.718,1.796,1.711,1.784,765219.978
07-12-2022,1.794,1.831,1.663,1.692,802072.382
08-12-2022,1.692,1.717,1.638,1.708,566546.743
09-12-2022,1.706,1.74,1.676,1.695,374475.766
10-12-2022,1.694,1.734,1.686,1.704,210949.187
11-12-2022,1.703,1.716,1.623,1.632,258491.305
12-12-2022,1.633,1.643,1.567,1.634,480058.345
13-12-2022,1.634,1.767,1.552,1.706,650728.927
14-12-2022,1.71,1.739,1.65,1.659,590551.91
15-12-2022,1.662,1.672,1.584,1.595,413686.784
16-12-2022,1.596,1.613,1.343,1.376,567340.69
17-12-2022,1.361,1.411,1.341,1.395,649819.895
18-12-2022,1.395,1.403,1.34,1.362,362600.958
19-12-2022,1.363,1.387,1.227,1.254,789296.002
20-12-2022,1.265,1.353,1.252,1.342,649821.003
21-12-2022,1.343,1.354,1.271,1.306,597673.803
22-12-2022,1.307,1.331,1.267,1.32,443689.355
23-12-2022,1.319,1.369,1.311,1.342,365795.956
24-12-2022,1.341,1.357,1.322,1.337,184713.766
25-12-2022,1.337,1.346,1.298,1.332,256742.471
26-12-2022,1.333,1.369,1.324,1.362,263898.903
27-12-2022,1.364,1.381,1.323,1.362,431360.493
28-12-2022,1.362,1.37,1.293,1.318,469025.86
29-12-2022,1.312,1.337,1.261,1.297,416776.357
30-12-2022,1.296,1.343,1.239,1.279,467073.529
31-12-2022,1.277,1.288,1.242,1.258,261811.115
01-01-2023,1.257,1.289,1.232,1.276,282936.444
02-01-2023,1.277,1.331,1.252,1.314,372180.094
03-01-2023,1.317,1.363,1.298,1.335,462538.622
04-01-2023,1.335,1.627,1.323,1.55,1108923.642
05-01-2023,1.548,1.647,1.507,1.524,886459.26
06-01-2023,1.524,1.617,1.479,1.59,802210.399
07-01-2023,1.592,1.607,1.54,1.557,374394.363
08-01-2023,1.557,1.655,1.515,1.645,658553.432
09-01-2023,1.648,1.725,1.62,1.643,1114880.264
10-01-2023,1.643,1.669,1.588,1.644,672720.26
11-01-2023,1.645,1.839,1.553,1.819,740777.607
12-01-2023,1.821,1.886,1.712,1.833,1136460.082
13-01-2023,1.83,2.023,1.775,1.954,981102.622
14-01-2023,1.956,2.356,1.942,2.25,1256017.692
15-01-2023,2.25,2.275,2.103,2.242,982754.236
16-01-2023,2.241,2.442,2.066,2.193,1135903.721
17-01-2023,2.193,2.263,2.145,2.155,855312.754
18-01-2023,2.157,2.231,1.959,1.975,887196.758
19-01-2023,1.974,2.158,1.97,2.095,899510.723
20-01-2023,2.095,2.406,2.046,2.39,858347.093
21-01-2023,2.387,2.476,2.307,2.322,977049.701
22-01-2023,2.323,2.596,2.318,2.398,974046.419
23-01-2023,2.399,2.71,2.394,2.539,970517.027
24-01-2023,2.538,2.623,2.307,2.355,770117.665
25-01-2023,2.355,2.636,2.277,2.544,902401.061
26-01-2023,2.547,2.72,2.492,2.522,966272.461
27-01-2023,2.518,2.586,2.39,2.559,1099978.791
28-01-2023,2.559,2.69,2.436,2.47,781065.982
29-01-2023,2.469,2.61,2.433,2.569,698457.926
30-01-2023,2.572,2.585,2.221,2.305,805700.454
31-01-2023,2.307,2.38,2.268,2.327,817992.674
01-02-2023,2.326,2.435,2.165,2.428,1040634.78
02-02-2023,2.427,2.574,2.397,2.441,964710.959
03-02-2023,2.446,2.519,2.399,2.51,708937.125
04-02-2023,2.511,2.585,2.424,2.502,618058.851
05-02-2023,2.5,2.558,2.329,2.39,626066.313
06-02-2023,2.386,2.432,2.284,2.306,641822.13
07-02-2023,2.309,2.51,2.302,2.492,722038.116
08-02-2023,2.493,2.847,2.47,2.64,1099739.776
09-02-2023,2.639,2.645,2.204,2.271,1074022.733
10-02-2023,2.272,2.309,2.199,2.251,811465.082
11-02-2023,2.249,2.297,2.199,2.285,459217.866
12-02-2023,2.284,2.375,2.193,2.238,585813.859
13-02-2023,2.236,2.256,2.09,2.187,775520.791
14-02-2023,2.187,2.262,2.107,2.246,666489.039
15-02-2023,2.246,2.531,2.204,2.513,880150.048
16-02-2023,2.512,2.555,2.3,2.31,1031416.91
17-02-2023,2.311,2.486,2.297,2.458,892815.329
18-02-2023,2.458,2.692,2.455,2.578,972248.027
19-02-2023,2.572,2.696,2.51,2.576,879253.659
20-02-2023,2.577,2.797,2.491,2.702,975508.655
21-02-2023,2.703,2.717,2.484,2.568,875407.715
22-02-2023,2.567,2.573,2.395,2.506,762672.611
23-02-2023,2.506,2.569,2.414,2.468,598089.845
24-02-2023,2.471,2.491,2.253,2.312,628798.807
25-02-2023,2.311,2.339,2.193,2.289,519051.031
26-02-2023,2.288,2.387,2.267,2.377,368527.588
27-02-2023,2.377,2.427,2.285,2.346,516422.985
28-02-2023,2.347,2.358,2.211,2.229,472002.464
01-03-2023,2.23,2.369,2.203,2.321,504062.856
02-03-2023,2.321,2.333,2.205,2.259,417124.683
03-03-2023,2.259,2.261,2.029,2.099,518504.951
04-03-2023,2.099,2.12,1.979,2.053,422801.115
05-03-2023,2.051,2.122,2.017,2.024,411003.665
06-03-2023,2.031,2.081,1.981,2.056,532260.247
07-03-2023,2.057,2.095,1.943,1.996,546865.959
08-03-2023,1.996,2.018,1.816,1.842,653326.526
09-03-2023,1.84,1.918,1.723,1.787,727569.878
10-03-2023,1.787,1.815,1.669,1.799,795743.481
11-03-2023,1.797,1.861,1.691,1.798,759806.271
12-03-2023,1.795,1.98,1.759,1.941,572541.724
13-03-2023,1.943,2.049,1.892,2.037,943693.514
14-03-2023,2.036,2.215,1.971,2.115,821593.54
15-03-2023,2.115,2.157,1.866,1.923,804085.376
16-03-2023,1.921,1.981,1.892,1.963,567476.906
17-03-2023,1.963,2.165,1.931,2.165,645118.969
18-03-2023,2.166,2.215,2.062,2.079,655764.194
19-03-2023,2.08,2.199,2.074,2.13,636129.893
20-03-2023,2.131,2.17,1.966,1.993,861812.178
21-03-2023,1.993,2.084,1.923,2.069,800755.087
22-03-2023,2.069,2.079,1.876,1.945,917734.412
23-03-2023,1.95,2.074,1.918,2.045,670790.44
24-03-2023,2.045,2.055,1.926,1.963,774298.535
25-03-2023,1.962,2.001,1.888,1.924,384964.872
26-03-2023,1.924,1.983,1.913,1.958,270429.029
27-03-2023,1.958,1.968,1.81,1.844,417521.134
28-03-2023,1.844,1.904,1.809,1.884,398728.4516
29-03-2023,1.883,2.009,1.875,2.001,541467.922
30-03-2023,2.001,2.041,1.901,1.932,502691.748
31-03-2023,1.927,2.015,1.884,1.99,392635.6486
01-04-2023,1.99,2.009,1.956,1.987,268126.445
02-04-2023,1.988,2.016,1.889,1.92,344281.342
03-04-2023,1.918,2.017,1.853,1.951,549175.045
04-04-2023,1.95,2.015,1.911,1.996,485992.535
05-04-2023,1.997,2.081,1.981,2.026,586335.883
06-04-2023,2.029,2.035,1.944,1.987,356325.103
07-04-2023,1.989,2.032,1.95,2.017,358103.285
08-04-2023,2.017,2.024,1.949,1.97,263635.391
09-04-2023,1.97,2.042,1.928,2.004,315571.156
10-04-2023,2.006,2.073,1.963,2.063,381429.227
11-04-2023,2.062,2.109,2.033,2.05,570529.757
12-04-2023,2.052,2.245,1.971,2.225,1080023.482
13-04-2023,2.224,2.234,2.153,2.201,814164.956
14-04-2023,2.2,2.285,2.15,2.216,820380.18
15-04-2023,2.22,2.408,2.172,2.317,711344
16-04-2023,2.317,2.356,2.263,2.322,548649.638
17-04-2023,2.323,2.337,2.236,2.286,663785.914
18-04-2023,2.289,2.403,2.237,2.346,707752.919
19-04-2023,2.346,2.405,2.086,2.149,753833.374
20-04-2023,2.149,2.201,2.019,2.053,744402.394
21-04-2023,2.047,2.068,1.882,1.926,567500.998
22-04-2023,1.926,1.953,1.892,1.947,309124.312
23-04-2023,1.947,1.954,1.84,1.912,349857.231
24-04-2023,1.911,1.946,1.849,1.885,353367.624
25-04-2023,1.886,1.99,1.84,1.958,465238.814
26-04-2023,1.963,2.027,1.778,1.892,551172.798
27-04-2023,1.893,1.956,1.874,1.922,388571.964
28-04-2023,1.923,1.943,1.874,1.917,229501.6318
29-04-2023,1.917,1.965,1.909,1.936,172717.116
30-04-2023,1.936,1.99,1.889,1.929,268541.307
01-05-2023,1.929,1.955,1.801,1.839,312288.422
02-05-2023,1.837,1.855,1.809,1.837,251528.928
03-05-2023,1.835,1.929,1.772,1.9,371355.001
04-05-2023,1.9,1.903,1.826,1.841,240277.315
05-05-2023,1.842,1.891,1.808,1.866,259831.832
06-05-2023,1.866,1.884,1.741,1.768,342534.688
07-05-2023,1.768,1.786,1.726,1.736,223473.16
08-05-2023,1.739,1.751,1.566,1.642,463075.14
09-05-2023,1.642,1.654,1.604,1.624,229557.731
10-05-2023,1.624,1.688,1.557,1.661,398546.036
11-05-2023,1.661,1.663,1.553,1.595,446733.821
12-05-2023,1.595,1.659,1.539,1.648,632283.305
13-05-2023,1.648,1.677,1.613,1.66,274496.229
14-05-2023,1.662,1.681,1.638,1.662,262912.45
15-05-2023,1.653,1.709,1.632,1.655,362850.422
16-05-2023,1.655,1.673,1.627,1.657,287501.328
17-05-2023,1.659,1.721,1.637,1.699,372515.784
18-05-2023,1.701,1.707,1.623,1.657,287203.922
19-05-2023,1.658,1.695,1.65,1.665,237656.812
20-05-2023,1.666,1.673,1.645,1.662,157932.182
21-05-2023,1.66,1.668,1.602,1.609,191376.255
22-05-2023,1.609,1.632,1.572,1.606,278626.134
23-05-2023,1.613,1.681,1.598,1.643,276941.853
24-05-2023,1.643,1.646,1.548,1.577,373337.299
25-05-2023,1.571,1.603,1.533,1.564,366845.5
26-05-2023,1.565,1.603,1.527,1.578,329677.698
27-05-2023,1.579,1.659,1.571,1.631,182969.84
28-05-2023,1.632,1.691,1.618,1.666,284586.665
29-05-2023,1.667,1.68,1.615,1.626,293975.867
30-05-2023,1.628,1.652,1.599,1.607,275638.233
31-05-2023,1.61,1.622,1.54,1.565,318355.315
01-06-2023,1.567,1.58,1.529,1.547,251391.814
02-06-2023,1.548,1.633,1.534,1.614,367681.201
03-06-2023,1.609,1.643,1.594,1.616,214717.491
04-06-2023,1.617,1.654,1.602,1.616,204402.494
05-06-2023,1.616,1.662,1.434,1.501,558325.627
06-06-2023,1.494,1.544,1.448,1.534,504451.293
07-06-2023,1.531,1.533,1.398,1.415,455325.08
08-06-2023,1.414,1.428,1.38,1.416,415709.944
09-06-2023,1.416,1.439,1.367,1.385,329718.717
10-06-2023,1.385,1.39,1.145,1.203,981129.034
11-06-2023,1.205,1.239,1.182,1.209,486678.511
12-06-2023,1.208,1.22,1.168,1.199,460178.797
13-06-2023,1.2,1.246,1.189,1.199,541171.456
14-06-2023,1.201,1.247,1.155,1.181,466292.182
15-06-2023,1.176,1.228,1.157,1.197,491591.139
16-06-2023,1.196,1.244,1.175,1.215,354742.687
17-06-2023,1.215,1.284,1.201,1.258,422773.13
18-06-2023,1.259,1.284,1.221,1.235,337755.335
19-06-2023,1.238,1.247,1.192,1.241,359771.983
20-06-2023,1.242,1.314,1.214,1.298,451680.041
21-06-2023,1.294,1.363,1.287,1.339,700299.113
22-06-2023,1.34,1.386,1.313,1.328,587859.905
23-06-2023,1.328,1.412,1.317,1.382,475851.167
24-06-2023,1.384,1.461,1.376,1.411,551768.718
25-06-2023,1.414,1.468,1.388,1.4,450221.189
26-06-2023,1.4,1.632,1.35,1.484,1074824.126
27-06-2023,1.485,1.512,1.448,1.477,673168.785
28-06-2023,1.477,1.48,1.33,1.362,594181.182
29-06-2023,1.363,1.402,1.335,1.35,579214.728
30-06-2023,1.35,1.447,1.273,1.388,792880.406
01-07-2023,1.388,1.489,1.353,1.483,500817.437
02-07-2023,1.486,1.489,1.427,1.468,458416.803
03-07-2023,1.467,1.491,1.424,1.456,599016.568
04-07-2023,1.458,1.459,1.383,1.4,419880.583
05-07-2023,1.398,1.421,1.332,1.355,440567.394
06-07-2023,1.355,1.396,1.284,1.312,457954.088
07-07-2023,1.308,1.371,1.295,1.331,463247.903
08-07-2023,1.332,1.401,1.322,1.382,497011.39
09-07-2023,1.38,1.397,1.315,1.326,368590.053
10-07-2023,1.328,1.365,1.285,1.332,326219.289
11-07-2023,1.332,1.356,1.299,1.329,333334.988
12-07-2023,1.331,1.475,1.302,1.334,392999.34
13-07-2023,1.328,1.472,1.31,1.464,578434.657
14-07-2023,1.465,1.598,1.443,1.496,1022200.093
15-07-2023,1.499,1.532,1.457,1.491,404550.374
16-07-2023,1.491,1.517,1.435,1.442,361043.093
17-07-2023,1.447,1.511,1.424,1.505,508805.719
18-07-2023,1.498,1.52,1.39,1.471,487102.176
19-07-2023,1.469,1.524,1.453,1.464,410904.054
20-07-2023,1.467,1.607,1.457,1.529,735402.684
21-07-2023,1.529,1.538,1.469,1.48,346827.529
22-07-2023,1.481,1.491,1.424,1.441,237753.59
23-07-2023,1.444,1.483,1.431,1.455,237926.759
24-07-2023,1.455,1.466,1.349,1.379,326896.023
25-07-2023,1.38,1.385,1.328,1.349,320083.228
26-07-2023,1.349,1.385,1.314,1.365,358758.534
27-07-2023,1.363,1.396,1.348,1.379,247519.732
28-07-2023,1.381,1.412,1.366,1.392,199621.155
29-07-2023,1.39,1.417,1.382,1.407,130127.152
30-07-2023,1.406,1.422,1.362,1.396,230879.442
31-07-2023,1.395,1.421,1.349,1.372,233969.184
01-08-2023,1.371,1.42,1.324,1.415,354927.853
02-08-2023,1.416,1.428,1.379,1.396,296872.755
03-08-2023,1.398,1.422,1.348,1.362,294015.997
04-08-2023,1.359,1.371,1.324,1.341,205395.38
05-08-2023,1.341,1.362,1.328,1.354,171452.187
06-08-2023,1.354,1.375,1.329,1.34,200974.718
07-08-2023,1.339,1.368,1.302,1.339,255553.836
08-08-2023,1.338,1.379,1.326,1.36,245558.689
09-08-2023,1.361,1.377,1.33,1.348,195612.8
10-08-2023,1.35,1.356,1.323,1.336,178460.773
11-08-2023,1.337,1.343,1.315,1.333,135483.794
12-08-2023,1.333,1.36,1.324,1.344,196391.956
13-08-2023,1.343,1.356,1.325,1.339,175343.478
14-08-2023,1.339,1.356,1.322,1.336,154928.641
15-08-2023,1.336,1.347,1.216,1.278,222399.189
16-08-2023,1.28,1.295,1.178,1.21,435222.106
17-08-2023,1.209,1.232,1.026,1.12,510604.073
18-08-2023,1.119,1.161,1.108,1.142,470087.699
19-08-2023,1.142,1.196,1.129,1.167,273209.558
20-08-2023,1.165,1.182,1.144,1.169,169343.796
21-08-2023,1.169,1.177,1.111,1.133,326455.833
22-08-2023,1.131,1.176,1.092,1.169,507756.74
23-08-2023,1.172,1.234,1.141,1.211,685086.917
24-08-2023,1.211,1.222,1.168,1.195,311152.489
25-08-2023,1.193,1.219,1.156,1.192,230234.863
26-08-2023,1.191,1.209,1.181,1.192,137042.916
27-08-2023,1.191,1.233,1.167,1.179,250153.323
28-08-2023,1.178,1.205,1.145,1.195,233075.73
29-08-2023,1.195,1.258,1.159,1.227,330961.876
30-08-2023,1.228,1.234,1.184,1.203,218365.239
31-08-2023,1.203,1.208,1.133,1.156,267067.608
01-09-2023,1.156,1.17,1.115,1.128,305506.192
02-09-2023,1.127,1.138,1.104,1.121,138340.58
03-09-2023,1.122,1.137,1.112,1.126,146494.479
04-09-2023,1.125,1.15,1.106,1.128,330196.206
05-09-2023,1.128,1.158,1.107,1.131,304961.744
06-09-2023,1.127,1.147,1.106,1.131,281638.123
07-09-2023,1.13,1.158,1.121,1.152,326023.649
08-09-2023,1.155,1.167,1.126,1.152,182524.163
09-09-2023,1.152,1.191,1.145,1.166,194220.211
10-09-2023,1.165,1.172,1.102,1.152,298249.592
11-09-2023,1.152,1.159,1.077,1.104,469031.669
12-09-2023,1.104,1.135,1.063,1.068,590325.856
13-09-2023,1.068,1.106,1.063,1.09,237952.46
14-09-2023,1.089,1.121,1.079,1.108,242290.732
15-09-2023,1.109,1.137,1.095,1.13,263090.604
16-09-2023,1.129,1.145,1.114,1.128,182328.042
17-09-2023,1.128,1.132,1.074,1.095,189660.627
18-09-2023,1.094,1.133,1.074,1.101,412725.084
19-09-2023,1.098,1.135,1.084,1.123,289037.726
20-09-2023,1.122,1.137,1.096,1.122,277443.834
21-09-2023,1.121,1.156,1.097,1.128,475621.678
22-09-2023,1.128,1.135,1.098,1.119,256795.882
23-09-2023,1.123,1.131,1.102,1.115,166734.887
24-09-2023,1.116,1.12,1.085,1.095,175808.089
25-09-2023,1.095,1.126,1.083,1.101,217275.986
26-09-2023,1.101,1.11,1.07,1.079,212487.474
27-09-2023,1.081,1.102,1.056,1.076,297797.47
28-09-2023,1.079,1.116,1.071,1.11,243955.606
29-09-2023,1.11,1.133,1.091,1.12,267291.941
30-09-2023,1.122,1.153,1.116,1.133,243342.527
01-10-2023,1.134,1.172,1.124,1.159,259241.776
02-10-2023,1.161,1.173,1.104,1.116,341378.2106
03-10-2023,1.115,1.127,1.091,1.099,224038.455
04-10-2023,1.1,1.11,1.061,1.1,294999.304
05-10-2023,1.098,1.121,1.067,1.075,290168.161
06-10-2023,1.073,1.106,1.069,1.093,160407.956
07-10-2023,1.094,1.113,1.076,1.091,155687.896
08-10-2023,1.091,1.106,1.072,1.091,111565.094
09-10-2023,1.091,1.1,1.017,1.038,268059.99
10-10-2023,1.038,1.061,1.027,1.043,162006.919
